,Sampling_start_date,State,County,detection_status_SARSCoV2,sars.cov.2_cocentration_copy_per_ml*,pmmov_concentration**,new_cases***,cumulative_cases***,county_population,wwtp_flow_MGD****,wwtp_flow_mL,Estimated_population_served,Sampling_location_ID
1,4/6/20,OH,Defiance,quantifiable,67.11311042,1789617.723,1,8,38087,2.681,10148689572,18000,8d7749224670ca9e936a201c86a9b847cac05cd7
2,4/12/20,OH,Defiance,not detected,NA,1826977.808,0,11,38087,3.077,11647712724,18000,8d7749224670ca9e936a201c86a9b847cac05cd7
3,4/19/20,OH,Defiance,quantifiable,20.48040044,4503542.568,1,14,38087,3.059,11579575308,18000,8d7749224670ca9e936a201c86a9b847cac05cd7
4,4/26/20,OH,Defiance,quantifiable,79.03694297,9029116.821,0,19,38087,2.462,9319684344,18000,8d7749224670ca9e936a201c86a9b847cac05cd7
5,4/12/20,IN,Steuben,not detected,NA,5672216.15,0,12,34594,1.065,4031463780,10000,5d428ec055bd74763dddaa0746ffc256817d30c3
6,4/6/20,IN,Steuben,not detected,NA,10664586.51,2,8,34594,1.1,4163953200,10000,5d428ec055bd74763dddaa0746ffc256817d30c3
7,4/19/20,IN,Steuben,quantifiable,37.73060663,1636354.036,0,17,34594,1.02,3861120240,10000,5d428ec055bd74763dddaa0746ffc256817d30c3
8,4/26/20,IN,Steuben,quantifiable,44.38005572,8171010.566,0,21,34594,1.177,4455429924,10000,5d428ec055bd74763dddaa0746ffc256817d30c3
9,5/3/20,IN,Steuben,quantifiable,28.21674522,unmeasured,0,26,34594,0.97,3671849640,10000,5d428ec055bd74763dddaa0746ffc256817d30c3
10,4/6/20,OR,Yamhill,not detected,NA,733543.3293,0,25,107100,4.73,17904998760,33930,235341800135e1275c67e99580023f6ae7f8a530
11,4/13/20,OR,Yamhill,not detected,NA,4296670.219,0,30,107100,3.44,13021817280,33930,235341800135e1275c67e99580023f6ae7f8a530
12,4/20/20,OR,Yamhill,not detected,NA,572466.0975,0,34,107100,3.24,12264734880,33930,235341800135e1275c67e99580023f6ae7f8a530
13,4/27/20,OR,Yamhill,not detected,NA,unmeasured,1,37,107100,3.77,14271003240,33930,235341800135e1275c67e99580023f6ae7f8a530
14,4/5/20,OR,Lincoln,not detected,NA,3791222.491,0,4,49962,1.52,5753826240,10592,aa1bf7ae2bf6a755073cf735908aeeba890c703f
15,4/14/20,OR,Umatilla,not detected,NA,1097486.716,0,16,77950,2.2,8327906400,17500,27abda0679fd44c3a223fad19ae374902a283471
16,4/19/20,OR,Umatilla,not detected,NA,1216926.286,1,26,77950,1.9,7192282800,17500,27abda0679fd44c3a223fad19ae374902a283471
17,4/26/20,OR,Umatilla,not detected,NA,1735005.165,1,36,77950,2.03,7684386360,17500,27abda0679fd44c3a223fad19ae374902a283471
18,5/3/20,OR,Umatilla,not detected,NA,unmeasured,3,64,77950,2.13,8062927560,17500,27abda0679fd44c3a223fad19ae374902a283471
19,4/7/20,MT,Cascade,not detected,NA,2790485.512,0,11,81366,8.167,30915459804,62881,ef00589ac8dfbdadb14290c77d93b508b3f1fc98
20,4/13/20,MT,Cascade,not detected,NA,16859532.26,0,11,81366,2.9,10977694800,62881,ef00589ac8dfbdadb14290c77d93b508b3f1fc98
21,4/27/20,MT,Cascade,not detected,NA,59594.51258,0,14,81366,2.77,10485591240,62881,ef00589ac8dfbdadb14290c77d93b508b3f1fc98
22,4/20/20,MT,Cascade,not detected,NA,2025807.954,0,13,81366,8.19,31002524280,62881,ef00589ac8dfbdadb14290c77d93b508b3f1fc98
23,4/7/20,MT,Cascade,not detected,NA,2613757.38,0,11,81366,2.751,10413668412,25000,c019af16be58abdffba34d2b42f77899936a353b
24,4/13/20,MT,Cascade,not detected,NA,4758633.658,0,11,81366,2.9,10977694800,25000,c019af16be58abdffba34d2b42f77899936a353b
25,4/20/20,MT,Cascade,not detected,NA,1299208.257,0,13,81366,2.81,10637007720,25000,c019af16be58abdffba34d2b42f77899936a353b
26,4/27/20,MT,Cascade,not detected,NA,147917.062,0,14,81366,7.69,29109818280,25000,c019af16be58abdffba34d2b42f77899936a353b
27,3/29/20,CO,Arapahoe,quantifiable,27.34203833,4618888.959,37,241,656590,19.8,74951157600,3.00E+05,235aeb4c00467134cc432a9dfc10b882903991b7
28,4/13/20,MT,Cascade,not detected,NA,6585276.606,0,11,81366,0.5,1892706000,3472,60b30921818076578cd11a7f118b6d8ad32a8e10
