map_key,map_key_wiki,Province,District,sample_size_OPV,OPV0,OPV1,HEXA1,HEXA2,HEXA3,HEXA4
BUF,B,EC,Buffalo City,2.11E+02,9.86E-01,9.53E-01,0.95,0.95,0.95,0.86
CPT,C,WC,City of Cape Town,1.01E+02,9.70E-01,9.80E-01,0.97,0.97,0.94,0.90
DC1,1,WC,West Coast,7.40E+01,9.73E-01,9.59E-01,0.97,0.97,0.89,0.82
DC10,10,EC,Sarah Baartman,3.48E+02,9.71E-01,9.54E-01,0.96,0.96,0.95,0.88
DC12,12,EC,Amathole,2.20E+02,9.86E-01,9.64E-01,0.98,0.97,0.95,0.86
DC13,13,EC,Chris Hani,7.90E+01,9.87E-01,9.24E-01,0.92,0.98,0.94,0.87
DC14,14,EC,Joe Gqabi,1.10E+02,9.55E-01,9.27E-01,0.93,0.92,0.94,0.82
DC15,15,EC,O.R.Tambo,3.72E+02,9.54E-01,9.03E-01,0.87,0.88,0.84,0.76
DC16,16,FS,Xhariep,8.10E+01,9.75E-01,9.51E-01,0.96,0.93,0.94,0.77
DC18,18,FS,Lejweleputswa,2.85E+02,9.86E-01,9.79E-01,0.99,0.98,0.98,0.87
DC19,19,FS,Thabo Mofutsanyane,5.00E+01,1.00E+00,9.60E-01,0.98,0.98,0.98,0.86
DC2,2,WC,Cape Winelands,1.79E+02,9.61E-01,9.44E-01,0.95,0.94,0.94,0.89
DC20,20,FS,Fezile Dabi,1.28E+02,9.14E-01,8.13E-01,0.82,0.83,0.83,0.82
DC21,21,KZN,Ugu,1.87E+02,9.73E-01,9.68E-01,0.98,0.98,0.96,0.89
DC22,22,KZN,Umgungundlovu,6.00E+01,9.67E-01,9.67E-01,0.93,0.97,0.97,0.83
DC23,23,KZN,Uthukela,7.00E+02,9.53E-01,9.37E-01,0.93,0.93,0.93,0.81
DC24,24,KZN,Umzinyathi,2.05E+02,9.76E-01,9.76E-01,0.97,0.97,0.96,0.84
DC25,25,KZN,Amajuba,4.70E+02,9.60E-01,9.53E-01,0.95,0.94,0.94,0.83
DC26,26,KZN,Zululand,3.99E+02,9.65E-01,9.55E-01,0.95,0.95,0.94,0.78
DC27,27,KZN,Umkhanyakude,2.43E+02,9.71E-01,9.55E-01,0.94,0.94,0.94,0.87
