shapeName,tot_pop,prop_pc100,prop_pc50,prop_pc25
City of Johannesburg,311549.0,37.134769439697266,36.273746490478516,25.0
City of Cape Town,390370.0,36.747188568115234,40.683837890625,22.82834243774414
West Rand,356305.0,56.78253173828125,28.391265869140625,21.857677459716797
Ekurhuleni,227966.0,0.0,0.0,21.6469783782959
City of Tshwane,320370.0,0.0,0.0,21.17247200012207
Nelson Mandela Bay,91759.0,0.0,0.0,18.01294708251953
eThekwini,178839.0,0.0,32.078853607177734,16.039426803588867
iLembe,151782.0,0.0,31.767601013183594,15.883800506591797
Buffalo City,61847.0,0.0,0.0,12.745970726013184
Sedibeng,103185.0,0.0,0.0,12.296603202819824
Bojanala,196162.0,0.0,0.0,9.501585006713867
Nkangala,124821.0,0.0,0.0,6.5423688888549805
Umgungundlovu,141032.0,0.0,0.0,5.846190929412842
Mangaung,77530.0,0.0,0.0,0.0
Thabo Mofutsanyane,66735.0,0.0,0.0,0.0
Amajuba,68388.0,0.0,0.0,0.0
O.R.Tambo,159580.0,0.0,0.0,0.0
Frances Baard,39239.0,0.0,0.0,0.0
Cape Winelands,89797.0,0.0,0.0,0.0
Waterberg,111264.0,0.0,0.0,0.0
