shapeName,sample_size,OPV0,OPV1,HEXA1,HEXA2,HEXA3,HEXA4,EVP
West Coast,74,97.3,95.89999999999999,97.3,97.3,89.2,82.39999999999999,94.302
Cape Winelands,179,96.1,94.39999999999999,95.0,94.39999999999999,93.89999999999999,88.8,92.787
Overberg,143,97.2,94.39999999999999,94.39999999999999,94.39999999999999,96.5,84.6,94.312
Eden,121,96.7,88.4,95.89999999999999,95.0,90.9,89.3,93.251
Central Karoo,33,100.0,100.0,100.0,100.0,100.0,97.0,98.03
Namakwa,27,100.0,96.3,96.3,100.0,100.0,92.60000000000001,97.89
Pixley ka Seme,32,93.8,87.5,90.60000000000001,81.3,78.10000000000001,68.8,84.96
Z F Mgcawu,61,98.4,98.4,96.7,100.0,96.7,83.6,97.318
Frances Baard,200,99.0,98.0,99.0,99.5,98.5,90.5,97.262
Cacadu,348,97.1,95.39999999999999,96.0,96.3,94.8,87.6,94.088
Amathole,220,98.6,96.39999999999999,97.7,96.8,95.0,86.4,95.066
Chris Hani,79,98.7,92.4,92.4,97.5,93.7,87.3,95.019
Joe Gqabi,110,95.5,92.7,92.7,91.8,93.60000000000001,81.8,92.036
O.R.Tambo,372,95.39999999999999,90.3,86.6,87.9,84.39999999999999,76.3,85.581
Xhariep,81,97.5,95.1,96.3,92.60000000000001,93.8,76.5,93.821
Lejweleputswa,285,98.6,97.89999999999999,99.3,97.89999999999999,97.89999999999999,87.4,96.612
Thabo Mofutsanyane,50,100.0,96.0,98.0,98.0,98.0,86.0,95.78
Fezile Dabi,128,91.4,81.3,82.0,82.8,82.8,82.0,81.223
Ugu,187,97.3,96.8,97.89999999999999,98.4,96.3,88.8,96.068
Umgungundlovu,60,96.7,96.7,93.30000000000001,96.7,96.7,83.3,94.46
Uthukela,700,95.3,93.7,93.30000000000001,92.7,92.7,80.60000000000001,90.955
Umzinyathi,205,97.6,97.6,97.1,96.6,95.6,83.89999999999999,94.613
Amajuba,470,96.0,95.3,95.3,93.60000000000001,93.8,83.2,92.775
Zululand,399,96.5,95.5,95.0,95.19999999999999,93.7,77.9,92.734
Umkhanyakude,243,97.1,95.5,93.8,94.19999999999999,93.8,87.2,92.177
Uthungulu,986,92.4,92.30000000000001,92.7,91.7,91.3,82.8,90.293
iLembe,359,79.9,78.60000000000001,76.9,76.3,76.6,72.39999999999999,75.408
Gert Sibande,284,99.3,98.2,98.2,98.2,97.89999999999999,84.89999999999999,95.909
Nkangala,328,90.2,87.5,88.7,88.4,86.9,78.0,86.471
Ehlanzeni,396,93.2,92.9,89.9,89.9,89.60000000000001,81.10000000000001,87.908
Mopani,680,93.5,91.5,91.9,92.10000000000001,90.4,81.6,89.892
Vhembe,589,93.0,92.5,92.2,91.9,90.8,82.0,89.956
Capricorn,493,87.4,85.8,86.0,86.6,85.8,71.6,84.429
Waterberg,111,96.39999999999999,95.5,96.39999999999999,94.6,92.80000000000001,73.9,93.145
Bojanala,299,94.3,91.60000000000001,93.0,91.3,90.60000000000001,83.3,90.344
Ngaka Modiri Molema,484,97.1,96.7,94.8,95.19999999999999,93.2,82.0,92.822
Dr Ruth Segomotsi Mompati,106,97.2,97.2,97.2,95.3,95.3,84.89999999999999,94.379
Dr Kenneth Kaunda,210,95.7,94.8,94.8,93.30000000000001,91.9,83.8,92.073
Sedibeng,514,94.6,92.60000000000001,94.19999999999999,93.8,93.0,84.0,91.912
Sisonke,597,96.0,95.1,94.6,94.1,94.5,87.1,92.808
Alfred Nzo,271,98.2,95.89999999999999,96.7,96.7,95.6,83.39999999999999,94.368
John Taolo Gaetsewe,5,100.0,100.0,100.0,100.0,100.0,100.0,98.126
Sekhukhune,345,92.80000000000001,89.60000000000001,91.60000000000001,91.9,90.7,82.6,89.777
West Rand,382,97.39999999999999,96.89999999999999,97.39999999999999,96.1,95.8,90.10000000000001,94.901
Buffalo City,211,98.6,95.3,95.3,95.3,94.8,86.3,93.184
City of Cape Town,101,97.0,98.0,97.0,97.0,94.1,90.10000000000001,94.712
Ekurhuleni,890,97.1,96.1,96.6,95.5,94.89999999999999,86.9,94.077
eThekwini,887,94.0,92.60000000000001,92.4,91.7,91.8,83.8,90.265
City of Johannesburg,1710,97.0,96.39999999999999,95.6,95.3,94.8,87.8,93.42
Mangaung,187,98.9,97.89999999999999,97.3,98.4,97.89999999999999,87.7,96.171
Nelson Mandela Bay,326,94.5,93.30000000000001,93.89999999999999,92.9,92.0,86.5,91.507
City of Tshwane,621,98.9,96.3,96.5,95.3,95.8,86.5,94.464
